Population,0–19,20–64,65 and over,Sex male,Sex female,Citizenship_Swiss,Citizenship_Foreigner,Marital status_Single,Marital status_Married,Marital status_Widowed,Marital status_Divorced,Marital status_Unmarried,In a registered partnership,Partnership dissolved,Urban core area ,Area influenced by urban cores,Area beyond urban core influence,Canton_name
845870,184231,519663,141976,415697,430173,561410,284460,418325,315182,33595,76804,90,1292,444,521241,236125,88504,Canton de Vaud
365844,70577,219937,75330,182413,183431,273857,91987,163137,149547,18664,33968,44,310,114,201600,87453,76791,Canton du Valais
524410,111028,326994,86388,253501,270909,305726,218684,261339,189663,19926,51833,101,1148,368,477653,46757,0,Genève
1063533,203904,624823,234806,522248,541285,873149,190384,478542,432439,54030,96804,71,1148,442,559799,236233,267501,Canton de Berne
341537,74535,209478,57524,170884,170653,257057,84480,162486,134688,13835,30021,35,320,119,111017,142877,87643,Canton de Fribourg
286844,55335,171450,60059,143570,143274,215055,71789,123185,122480,14062,26671,15,313,88,172737,73426,40681,Kanton Solothurn
178291,36388,106520,35383,87554,90737,130853,47438,83895,65266,9108,19777,12,166,63,104433,52086,21772,Neuchâtel
74548,15217,42651,16680,36901,37647,62658,11890,33430,29406,4374,7223,12,60,25,25116,15040,34392,Jura
200031,35405,125332,39294,97361,102670,123470,76561,100761,69830,9334,19440,22,484,152,200031,0,0,Kanton Basel-Stadt
298837,57976,172325,68536,146562,152275,224047,74790,124917,130738,15879,26752,17,416,98,203068,88782,6987,Kanton Basel-Landschaft
726894,148466,441417,137011,365960,360934,528295,198599,317730,315116,31277,61839,35,639,217,397104,227005,102785,Kanton Aargau
1605508,317627,1009978,277903,800992,804516,1145802,459706,776147,624220,61840,138631,98,3221,1221,1240833,354088,10587,Kanton Zürich
42056,8072,25004,8980,21274,20782,30989,11067,18088,17934,2235,3742,3,37,13,32397,0,9659,Kanton Glarus
87111,16521,51468,19122,43329,43782,62442,24669,36925,37385,4528,8122,4,104,36,49879,28367,8865,Kanton Schaffhausen
56495,11654,32875,11966,28438,28057,46455,10040,24450,24138,2762,5065,2,59,16,15893,27230,13372,Kanton Appenzell Ausserrhoden
16585,3444,9696,3445,8518,8067,14519,2066,7524,7100,846,1103,1,8,3,0,0,16585,Kanton Appenzell Innerrhoden
535114,109388,322746,102980,269080,266034,393155,141959,237152,227109,24566,45644,29,411,120,370709,70013,94392,Kanton St. Gallen
204888,35797,121842,47249,102927,101961,162697,42191,88610,87262,10725,18074,19,144,47,67455,24953,112480,Kanton Graubünden
295220,60235,178224,56761,148878,146342,215329,79891,127479,128176,12996,26221,15,247,78,136402,61614,97204,Kanton Thurgau
432744,87655,264188,80901,216015,216729,341873,90871,201825,178762,18955,32565,29,437,139,227876,49629,155239,Kanton Luzern
37931,7542,21992,8397,19342,18589,32289,5642,16367,17233,1988,2310,6,21,5,23359,10126,4446,Kanton Uri
167403,32139,102749,32515,85877,81526,127559,39844,73397,72077,7355,14353,8,155,51,101578,35878,29947,Kanton Schwyz
39272,7780,23288,8204,19849,19423,32835,6437,17392,17066,1877,2902,1,25,5,10742,0,28530,Kanton Obwalden
45016,8067,26836,10113,23024,21992,37232,7784,19544,19433,2099,3888,2,32,5,16351,6187,22478,Kanton Nidwalden
132556,26580,81878,24098,67179,65377,92423,40133,58927,57557,5106,10718,13,183,49,121438,11118,0,Kanton Zug
357720,62877,210178,84665,174159,183561,253794,103926,156417,146114,21299,33388,49,342,100,254996,77467,25257,Ticino
