Canton,Canton_count,Migros_count,Proportion_Migros,Population_count,Potential_customer by shop
Kanton Zürich,543,113,20.810313075506446,1605508,14208.035398230088
Canton de Berne,268,45,16.791044776119403,1063533,23634.066666666666
Kanton St. Gallen,190,41,21.57894736842105,535114,13051.560975609756
Kanton Luzern,193,41,21.243523316062177,432744,10554.731707317073
Canton de Vaud,135,29,21.48148148148148,845870,29167.93103448276
Kanton Basel-Landschaft,73,22,30.136986301369863,298837,13583.5
Kanton Thurgau,84,22,26.190476190476197,295220,13419.09090909091
Kanton Solothurn,59,17,28.8135593220339,286844,16873.176470588234
Kanton Basel-Stadt,57,17,29.82456140350877,200031,11766.529411764706
Genève,50,13,26.0,524410,40339.230769230766
Kanton Schwyz,62,12,19.35483870967742,167403,13950.25
Kanton Zug,35,10,28.57142857142857,132556,13255.6
Ticino,74,9,12.162162162162163,357720,39746.66666666666
Kanton Appenzell Ausserrhoden,29,8,27.58620689655172,56495,7061.875
Canton de Fribourg,63,7,11.11111111111111,341537,48791.0
Kanton Nidwalden,34,6,17.647058823529413,45016,7502.666666666667
Kanton Graubünden,62,5,8.064516129032258,204888,40977.6
Kanton Obwalden,31,5,16.129032258064516,39272,7854.4
Canton du Valais,17,4,23.52941176470588,365844,91461.0
Kanton Uri,23,4,17.391304347826086,37931,9482.75
Neuchâtel,17,4,23.52941176470588,178291,44572.75
Kanton Glarus,14,3,21.428571428571427,42056,14018.666666666666
Kanton Appenzell Innerrhoden,10,1,10.0,16585,16585.0
Jura,9,1,11.11111111111111,74548,74548.0
Kanton Aargau,0,0,0.0,726894,
Kanton Schaffhausen,0,0,0.0,87111,
