Canton,Canton_count,Migros_count,Proportion_Migros,Population_count,Potential_customer by shop,Store_density,GDP_per_capita,Residents_per_km2
Kanton Zürich,543,113,20.81031308,1605508,14208.0354,0.2,104620,915.79
Canton de Berne,268,45,16.79104478,1063533,23634.06667,0.2,85151,177.21
Kanton St. Gallen,190,41,21.57894737,535114,13051.56098,0.2,85320,260.22
Kanton Luzern,193,41,21.24352332,432744,10554.73171,0.2,75544,286.58
Canton de Vaud,135,29,21.48148148,845870,29167.93103,0.2,78021,283.28
Kanton Basel-Landschaft,73,22,30.1369863,298837,13583.5,0.3,77693,556.59
Kanton Thurgau,84,22,26.19047619,295220,13419.09091,0.3,70504,320.32
Kanton Solothurn,59,17,28.81355932,286844,16873.17647,0.3,73803,345.62
Kanton Basel-Stadt,57,17,29.8245614,200031,11766.52941,0.3,209782,"5,271.07"
Genève,50,13,26,524410,40339.23077,0.3,119644,"2,032.06"
Kanton Schwyz,62,12,19.35483871,167403,13950.25,0.2,70739,186.96
Kanton Zug,35,10,28.57142857,132556,13255.6,0.3,192958,612.3
Ticino,74,9,12.16216216,357720,39746.66667,0.1,102190,129.06
Kanton Appenzell Ausserrhoden,29,8,27.5862069,56495,7061.875,0.3,67341,486.14
Canton de Fribourg,63,7,11.11111111,341537,48791,0.1,64502,200.36
Kanton Nidwalden,34,6,17.64705882,45016,7502.666667,0.2,74952,179.09
Kanton Graubünden,62,5,8.064516129,204888,40977.6,0.1,82817,27.92
Kanton Obwalden,31,5,16.12903226,39272,7854.4,0.2,74902,78.73
Canton du Valais,17,4,23.52941176,365844,91461,0.2,61387,65.97
Kanton Uri,23,4,17.39130435,37931,9482.75,0.2,58392,34.46
Neuchâtel,17,4,23.52941176,178291,44572.75,0.2,106165,246.74
Kanton Glarus,14,3,21.42857143,42056,14018.66667,0.2,75430,59.36
Kanton Appenzell Innerrhoden,10,1,10,16585,16585,0.1,75526,93.61
Jura,9,1,11.11111111,74548,74548,0.1,78546,87.56
Kanton Aargau,0,0,0,726894,,0,67224,227.45
Kanton Schaffhausen,0,0,0,87111,,0,100959,275
